prodid,prodDescription,price1,price2,unitCost,PRODTYPEID,Source,typeDescription,BUID,NAME,ABBREV,supplierName
20,Flake Photo Equipment                ,232.26,204.39,194.17,1,TPCW,Photo Equipment        ,A        ,Processing Equipment,Equipment,Sinclair Broadcast Group Inc      
32,Chartable Photo Equipment            ,410.17,347.41,312.67,1,TPCW,Photo Equipment        ,A        ,Processing Equipment,Equipment,Black Hills Corporation           
35,Chromium Photo Equipment             ,565.5,457.49,425.47,1,TPCW,Photo Equipment        ,A        ,Processing Equipment,Equipment,Fedders Corporation               
36,Bomber Photo Equipment               ,461.34,400.44,380.42,1,TPCW,Photo Equipment        ,A        ,Processing Equipment,Equipment,American General Ventures Inc     
71,Simulations Photo Equipment          ,318.38,255.66,245.43,1,TPCW,Photo Equipment        ,A        ,Processing Equipment,Equipment,Black Hills Corporation           
77,Vastest Photo Equipment              ,498.08,442.3,420.19,1,TPCW,Photo Equipment        ,A        ,Processing Equipment,Equipment,Sinclair Broadcast Group Inc      
6,Planetesimal Manufacturing Equipment ,347.28,307,285.51,2,TPCW,Manufacturing Equipment,A        ,Processing Equipment,Equipment,First Bancshares Inc Mo           
8,Septembers Manufacturing Equipment   ,584.33,522.98,517.75,2,TPCW,Manufacturing Equipment,A        ,Processing Equipment,Equipment,Fedders Corporation               
18,Miniaturizing Manufacturing Equipment,456.24,379.59,353.02,2,TPCW,Manufacturing Equipment,A        ,Processing Equipment,Equipment,American General Ventures Inc     
24,Bandage Manufacturing Equipment      ,298,267.01,253.66,2,TPCW,Manufacturing Equipment,A        ,Processing Equipment,Equipment,Sinclair Broadcast Group Inc      
34,Sailors Manufacturing Equipment      ,340.48,290.43,278.81,2,TPCW,Manufacturing Equipment,A        ,Processing Equipment,Equipment,Dollar General Corporation        
40,Insensitivity Manufacturing Equipment,200.71,180.44,169.61,2,TPCW,Manufacturing Equipment,A        ,Processing Equipment,Equipment,First Bancshares Inc Mo           
44,Birthdays Manufacturing Equipment    ,196.56,173.17,161.05,2,TPCW,Manufacturing Equipment,A        ,Processing Equipment,Equipment,First Bancshares Inc Mo           
60,Habitually Manufacturing Equipment   ,509.3,419.15,394,2,TPCW,Manufacturing Equipment,A        ,Processing Equipment,Equipment,Black Hills Corporation           
61,Courthouses Manufacturing Equipment  ,285.62,243.63,231.45,2,TPCW,Manufacturing Equipment,A        ,Processing Equipment,Equipment,First Bancshares Inc Mo           
65,Extinguisher Manufacturing Equipment ,120.39,98.36,90.49,2,TPCW,Manufacturing Equipment,A        ,Processing Equipment,Equipment,Sinclair Broadcast Group Inc      
67,Occlusion Manufacturing Equipment    ,199.88,177.29,164.88,2,TPCW,Manufacturing Equipment,A        ,Processing Equipment,Equipment,Afg Industries Inc                
70,Escape Manufacturing Equipment       ,584.38,523.6,507.89,2,TPCW,Manufacturing Equipment,A        ,Processing Equipment,Equipment,Black Hills Corporation           
85,Disallow Manufacturing Equipment     ,165.24,145.91,144.45,2,TPCW,Manufacturing Equipment,A        ,Processing Equipment,Equipment,Dollar General Corporation        
87,Suing Manufacturing Equipment        ,482.16,426.71,401.11,2,TPCW,Manufacturing Equipment,A        ,Processing Equipment,Equipment,First Bancshares Inc Mo           
100,Pervasively Manufacturing Equipment  ,374.14,334.86,308.07,2,TPCW,Manufacturing Equipment,A        ,Processing Equipment,Equipment,American General Ventures Inc     
106,Escape Manufacturing Equipment       ,584.38,523.6,507.89,2,TPCW,Manufacturing Equipment,A        ,Processing Equipment,Equipment,Black Hills Corporation           
1,Enumerator Polishing Equipment       ,164.97,142.53,135.4,3,TPCW,Polishing Equipment    ,A        ,Processing Equipment,Equipment,American General Ventures Inc     
21,Denigrating Polishing Equipment      ,565.95,454.46,427.19,3,TPCW,Polishing Equipment    ,A        ,Processing Equipment,Equipment,First Bancshares Inc Mo           
25,Chalmers Polishing Equipment         ,289.17,242.61,223.2,3,TPCW,Polishing Equipment    ,A        ,Processing Equipment,Equipment,American General Ventures Inc     
26,Subclasses Polishing Equipment       ,282.51,239,236.61,3,TPCW,Polishing Equipment    ,A        ,Processing Equipment,Equipment,Saurer Gruppe Holding Ag          
37,Concentrators Polishing Equipment    ,584.57,524.94,482.94,3,TPCW,Polishing Equipment    ,A        ,Processing Equipment,Equipment,Immunex Corporation               
38,Syntax Polishing Equipment           ,226.72,190.9,177.54,3,TPCW,Polishing Equipment    ,A        ,Processing Equipment,Equipment,Dollar General Corporation        
56,Allis Polishing Equipment            ,201.77,176.35,160.48,3,TPCW,Polishing Equipment    ,A        ,Processing Equipment,Equipment,American General Ventures Inc     
63,Weeks Polishing Equipment            ,198.83,174.18,168.95,3,TPCW,Polishing Equipment    ,A        ,Processing Equipment,Equipment,Afg Industries Inc                
68,Loaves Polishing Equipment           ,425.59,361.33,354.1,3,TPCW,Polishing Equipment    ,A        ,Processing Equipment,Equipment,Afg Industries Inc                
81,Palm Polishing Equipment             ,122.39,105.38,103.27,3,TPCW,Polishing Equipment    ,A        ,Processing Equipment,Equipment,Black Hills Corporation           
93,Bellowing Polishing Equipment        ,502.57,451.31,446.8,3,TPCW,Polishing Equipment    ,A        ,Processing Equipment,Equipment,First Bancshares Inc Mo           
95,Duplicator Polishing Equipment       ,544.28,465.36,432.78,3,TPCW,Polishing Equipment    ,A        ,Processing Equipment,Equipment,Afg Industries Inc                
4,Embodying Cleaning Supplies          ,250.91,213.52,207.11,5,TPCW,Cleaning Supplies      ,B        ,Disposable Supplies ,Supplies ,Immunex Corporation               
17,Optima Cleaning Supplies             ,288.41,255.53,242.75,5,TPCW,Cleaning Supplies      ,B        ,Disposable Supplies ,Supplies ,American General Ventures Inc     
48,Patriarchal Cleaning Supplies        ,351.54,284.75,264.82,5,TPCW,Cleaning Supplies      ,B        ,Disposable Supplies ,Supplies ,Sinclair Broadcast Group Inc      
86,Soya Cleaning Supplies               ,406.93,345.89,345.89,5,TPCW,Cleaning Supplies      ,B        ,Disposable Supplies ,Supplies ,Specialty Teleconstructors Inc    
90,Curiouser Cleaning Supplies          ,419.36,364.42,338.91,5,TPCW,Cleaning Supplies      ,B        ,Disposable Supplies ,Supplies ,Dollar General Corporation        
96,Drafty Cleaning Supplies             ,107.13,92.67,88.96,5,TPCW,Cleaning Supplies      ,B        ,Disposable Supplies ,Supplies ,Black Hills Corporation           
101,Optima Cleaning Supplies             ,288.41,255.53,242.75,5,TPCW,Cleaning Supplies      ,B        ,Disposable Supplies ,Supplies ,American General Ventures Inc     
46,Distantly Paper Supplies             ,518.49,436.05,418.61,6,TPCW,Paper Supplies         ,B        ,Disposable Supplies ,Supplies ,First Bancshares Inc Mo           
50,Restarts Paper Supplies              ,524.38,448.34,425.92,6,TPCW,Paper Supplies         ,B        ,Disposable Supplies ,Supplies ,Specialty Teleconstructors Inc    
84,Unjust Paper Supplies                ,222.48,182.21,176.74,6,TPCW,Paper Supplies         ,B        ,Disposable Supplies ,Supplies ,Afg Industries Inc                
89,Travel Paper Supplies                ,129.85,108.81,103.37,6,TPCW,Paper Supplies         ,B        ,Disposable Supplies ,Supplies ,Saurer Gruppe Holding Ag          
97,Stickiest Paper Supplies             ,575.92,502.78,467.59,6,TPCW,Paper Supplies         ,B        ,Disposable Supplies ,Supplies ,Black Hills Corporation           
105,Just Paper Supplies                  ,278.59,201.34,192.67,6,TPCW,Paper Supplies         ,B        ,Disposable Supplies ,Supplies ,Afg Industries Inc                
27,Pinnings Plastic Supplies            ,337.17,302.44,287.32,7,TPCW,Plastic Supplies       ,B        ,Disposable Supplies ,Supplies ,Saurer Gruppe Holding Ag          
39,Overlays Plastic Supplies            ,301.08,254.41,241.69,7,TPCW,Plastic Supplies       ,B        ,Disposable Supplies ,Supplies ,Afg Industries Inc                
