Customer_sk,Product_sk,Supplier_sk,TransactionProfile_sk,orderDate_sk,saleDate_sk,invoiceID(DD),shipCost,daysToShip,discounted,source,qty,salesAmount
90,2,13,1,1,410,11,,,1,TPCE,18,2565
89,2,13,1,1,419,20,,,0,TPCE,2,330
116,2,13,1,1,11459,28,,,0,TPCE,14,2310
87,2,13,1,1,2770,35,,,0,TPCE,5,825
101,2,13,1,1,1499,43,,,0,TPCE,20,3300
108,2,13,1,1,9128,46,,,0,TPCE,18,2970
96,2,13,1,1,26906,50,,,0,TPCE,18,2970
116,2,13,1,1,21899,67,,,0,TPCE,5,825
86,2,13,1,1,21257,70,,,0,TPCE,14,2310
93,2,13,1,1,4209,106,,,0,TPCE,7,1155
99,2,13,1,1,1582,110,,,0,TPCE,18,2970
96,2,13,1,1,320,113,,,0,TPCE,13,2145
83,2,13,1,1,14328,115,,,0,TPCE,19,3135
113,2,13,1,1,2618,131,,,0,TPCE,8,1320
121,2,13,1,1,11653,134,,,0,TPCE,7,1155
91,2,13,1,1,6968,138,,,0,TPCE,13,2145
106,2,13,1,1,2160,139,,,0,TPCE,2,330
82,2,13,1,1,552,153,,,0,TPCE,15,2475
100,2,13,1,1,1268,158,,,0,TPCE,2,330
111,2,13,1,1,562,163,,,0,TPCE,14,2310
116,2,13,1,1,253,164,,,0,TPCE,13,2145
111,2,13,1,1,1805,167,,,0,TPCE,17,2805
108,2,13,1,1,22018,185,,,0,TPCE,18,2970
115,2,13,1,1,21452,200,,,0,TPCE,7,1155
102,2,13,1,1,9108,247,,,0,TPCE,26,4290
107,2,13,1,1,14334,249,,,0,TPCE,16,2640
94,2,13,1,1,1294,263,,,0,TPCE,19,3135
114,2,13,1,1,15478,271,,,0,TPCE,12,1980
117,2,13,1,1,4203,295,,,0,TPCE,8,1320
113,2,13,1,1,771,297,,,0,TPCE,8,1320
110,2,13,1,1,773,298,,,0,TPCE,6,990
104,2,13,1,1,17366,333,,,0,TPCE,4,660
97,2,13,1,1,16908,351,,,0,TPCE,11,1815
89,2,13,1,1,10515,359,,,0,TPCE,6,990
105,2,13,1,1,549,368,,,0,TPCE,6,990
114,2,13,1,1,3630,373,,,0,TPCE,19,3135
95,2,13,1,1,6805,374,,,0,TPCE,4,660
90,2,13,1,1,10781,378,,,0,TPCE,13,2145
111,2,13,1,1,17786,379,,,0,TPCE,3,495
118,2,13,1,1,2347,390,,,0,TPCE,16,2640
113,2,13,1,1,39259,399,,,0,TPCE,8,1320
110,2,13,1,1,17162,401,,,0,TPCE,18,2970
102,2,13,1,1,267,408,,,0,TPCE,6,990
107,2,13,1,1,2523,419,,,0,TPCE,18,2970
89,2,13,1,1,27545,427,,,0,TPCE,2,330
114,2,13,1,1,10830,444,,,0,TPCE,12,1980
84,2,13,1,1,6372,445,,,0,TPCE,2,330
122,2,13,1,1,8813,448,,,0,TPCE,20,3300
118,2,13,1,1,6797,449,,,0,TPCE,9,1485
102,2,13,1,1,18286,472,,,0,TPCE,14,2310
114,2,13,1,1,1518,492,,,0,TPCE,20,3300
103,2,13,1,1,17961,513,,,0,TPCE,11,1815
120,2,13,1,1,9166,521,,,0,TPCE,8,1320
106,2,13,1,1,10290,531,,,0,TPCE,17,2805
97,2,13,1,1,14227,542,,,0,TPCE,14,2310
115,2,13,1,1,4004,560,,,0,TPCE,2,330
112,2,13,1,1,249,593,,,0,TPCE,8,1320
94,2,13,1,1,8729,607,,,0,TPCE,15,2475
92,2,13,1,1,6797,620,,,0,TPCE,12,1980
93,2,13,1,1,17657,624,,,0,TPCE,12,1980
90,2,13,1,1,7837,632,,,0,TPCE,6,990
104,2,13,1,1,11632,649,,,0,TPCE,18,2970
84,2,13,1,1,10510,662,,,0,TPCE,11,1815
85,2,13,1,1,2725,664,,,0,TPCE,18,2970
97,2,13,1,1,16788,672,,,0,TPCE,17,2805
90,2,13,1,1,6801,683,,,0,TPCE,15,2475
111,2,13,1,1,4238,706,,,0,TPCE,16,2640
93,2,13,1,1,18038,722,,,0,TPCE,10,1650
117,2,13,1,1,3914,746,,,0,TPCE,7,1155
106,2,13,1,1,4345,762,,,0,TPCE,16,2640
94,2,13,1,1,17360,766,,,0,TPCE,6,990
116,2,13,1,1,9983,789,,,0,TPCE,3,495
120,2,13,1,1,1815,790,,,0,TPCE,10,1650
118,2,13,1,1,4396,813,,,0,TPCE,18,2970
90,2,13,1,1,17274,818,,,0,TPCE,13,2145
109,2,13,1,1,30971,823,,,0,TPCE,4,660
101,2,13,1,1,2770,825,,,0,TPCE,9,1485
100,2,13,1,1,9132,827,,,0,TPCE,6,990
95,2,13,1,1,3412,866,,,0,TPCE,14,2310
83,2,13,1,1,3656,872,,,0,TPCE,11,1815
122,2,13,1,1,6998,899,,,0,TPCE,3,495
101,2,13,1,1,4486,903,,,0,TPCE,6,990
96,2,13,1,1,4493,910,,,0,TPCE,19,3135
112,2,13,1,1,47965,933,,,0,TPCE,11,1815
118,2,13,1,1,17652,935,,,0,TPCE,4,660
84,2,13,1,1,8262,941,,,0,TPCE,19,3135
121,2,13,1,1,38075,962,,,0,TPCE,2,330
121,2,13,1,1,4447,966,,,0,TPCE,20,3300
118,2,13,1,1,11669,971,,,0,TPCE,8,1320
99,2,13,1,1,6417,1002,,,0,TPCE,16,2640
116,2,13,1,1,2160,1004,,,0,TPCE,20,3300
94,2,13,1,1,4605,1022,,,0,TPCE,14,2310
115,2,13,1,1,11653,1027,,,0,TPCE,6,990
118,2,13,1,1,138,1052,,,0,TPCE,14,2310
121,2,13,1,1,3715,1055,,,0,TPCE,2,330
115,2,13,1,1,2675,1068,,,0,TPCE,14,2310
102,2,13,1,1,3141,1085,,,0,TPCE,10,1650
89,2,13,1,1,10000,1095,,,0,TPCE,19,3135
89,2,13,1,1,10797,1112,,,0,TPCE,16,2640
100,2,13,1,1,6507,1116,,,0,TPCE,18,2970
93,2,13,1,1,3483,1117,,,0,TPCE,20,3300
111,2,13,1,1,8031,1139,,,0,TPCE,5,825
94,2,13,1,1,33046,1147,,,0,TPCE,16,2640
121,2,13,1,1,7560,1156,,,0,TPCE,8,1320
101,2,13,1,1,10702,1157,,,0,TPCE,11,1815
89,2,13,1,1,3580,1164,,,0,TPCE,14,2310
122,2,13,1,1,3885,1165,,,0,TPCE,20,3300
85,2,13,1,1,1204,1166,,,0,TPCE,18,2970
84,2,13,1,1,1694,1175,,,0,TPCE,5,825
97,2,13,1,1,2874,1184,,,0,TPCE,15,2475
83,2,13,1,1,927,1194,,,0,TPCE,10,1650
102,2,13,1,1,1735,1195,,,0,TPCE,8,1320
90,2,13,1,1,11360,1227,,,0,TPCE,13,2145
102,2,13,1,1,1329,1228,,,0,TPCE,16,2640
116,2,13,1,1,17927,1231,,,0,TPCE,10,1650
122,2,13,1,1,4378,1245,,,0,TPCE,10,1650
82,2,13,1,1,4238,1253,,,0,TPCE,10,1650
115,2,13,1,1,2216,1254,,,0,TPCE,16,2640
93,2,13,1,1,2481,1257,,,0,TPCE,18,2970
102,2,13,1,1,6521,1261,,,0,TPCE,16,2640
85,2,13,1,1,16875,1262,,,0,TPCE,2,330
112,2,13,1,1,3991,1264,,,0,TPCE,17,2805
