Customer_sk,Product_sk,Supplier_sk,transactionProfile_sk,orderDate_sk,saleDate_sk,invoiceID(DD),shipCost,daysToShip,discounted,source,qty,salesAmount
96,2,2,1,1,4207,18,,,0,TPCW ,117,19301.5
96,2,2,1,1,10549,161,,,0,TPCW ,191,31509.3
95,2,2,1,1,2591,172,,,0,TPCW ,14,2309.6
96,2,2,1,1,3141,331,,,0,TPCW ,36,5938.9
82,2,2,1,1,2302,525,,,0,TPCW ,40,6598.8
88,2,2,1,1,282,550,,,0,TPCW ,55,9073.4
100,2,2,1,1,3725,592,,,0,TPCW ,10,1649.7
86,2,2,1,1,34867,616,,,0,TPCW ,81,13362.6
92,2,2,1,1,1823,632,,,0,TPCW ,43,7093.7
113,2,2,1,1,18294,858,,,0,TPCW ,64,10558.1
121,2,2,1,1,17591,882,,,0,TPCW ,116,19136.5
89,2,2,1,1,354,1210,,,0,TPCW ,137,22600.9
83,2,2,1,1,49181,1211,,,0,TPCW ,24,3959.3
89,2,2,1,1,17208,1220,,,0,TPCW ,143,23590.7
121,2,2,1,1,4197,1253,,,0,TPCW ,30,4949.1
101,2,2,1,1,3143,1291,,,0,TPCW ,109,17981.7
115,2,2,1,1,8039,1309,,,0,TPCW ,159,26230.2
115,2,2,1,1,25463,1316,,,0,TPCW ,168,27715
112,2,2,1,1,8729,1370,,,0,TPCW ,186,30684.4
85,2,2,1,1,2960,1464,,,0,TPCW ,157,25900.3
85,2,2,1,1,9518,1483,,,0,TPCW ,161,26560.2
82,2,2,1,1,1801,1513,,,0,TPCW ,173,28539.8
104,2,2,1,1,281,1522,,,0,TPCW ,130,21446.1
103,2,2,1,1,17351,1566,,,0,TPCW ,11,1814.7
112,2,2,1,1,1717,1610,,,0,TPCW ,65,10723
118,2,2,1,1,10230,1626,,,0,TPCW ,113,18641.6
119,2,2,1,1,6518,1744,,,0,TPCW ,64,10558.1
116,2,2,1,1,8260,1870,,,0,TPCW ,112,18476.6
100,2,2,1,1,1805,1947,,,0,TPCW ,11,1814.7
117,2,2,1,1,10657,2167,,,0,TPCW ,66,10888
96,2,2,1,1,1891,2188,,,0,TPCW ,17,2804.5
105,2,2,1,1,9981,2210,,,0,TPCW ,124,20456.3
83,2,2,1,1,2204,2256,,,0,TPCW ,109,17981.7
88,2,2,1,1,1637,2335,,,0,TPCW ,50,8248.5
92,2,2,1,1,4276,2404,,,0,TPCW ,135,22271
100,2,2,1,1,4197,2413,,,0,TPCW ,40,6598.8
95,2,2,1,1,1667,2463,,,0,TPCW ,83,13692.5
92,2,2,1,1,17777,2482,,,0,TPCW ,187,30849.4
95,2,2,1,1,1198,2489,,,0,TPCW ,102,16826.9
102,2,2,1,1,240,2567,,,0,TPCW ,143,23590.7
85,2,2,1,1,958,2699,,,0,TPCW ,57,9403.3
120,2,2,1,1,2652,2840,,,0,TPCW ,45,7423.6
91,2,2,1,1,8161,2886,,,0,TPCW ,101,16662
120,2,2,1,1,9562,3211,,,0,TPCW ,118,19466.5
92,2,2,1,1,17164,3219,,,0,TPCW ,89,14682.3
111,2,2,1,1,11042,3234,,,0,TPCW ,27,4454.2
115,2,2,1,1,3157,3332,,,0,TPCW ,189,31179.3
88,2,2,1,1,6823,3409,,,0,TPCW ,168,27715
89,2,2,1,1,2768,3438,,,0,TPCW ,64,10558.1
84,2,2,1,1,1487,3593,,,0,TPCW ,28,4619.2
116,2,2,1,1,927,3654,,,0,TPCW ,129,21281.1
85,2,2,1,1,3606,3726,,,0,TPCW ,73,12042.8
118,2,2,1,1,30710,3772,,,0,TPCW ,33,5444
93,2,2,1,1,3117,3824,,,0,TPCW ,104,17156.9
84,2,2,1,1,1335,3866,,,0,TPCW ,108,17816.8
92,2,2,1,1,10856,3965,,,0,TPCW ,107,17651.8
95,2,2,1,1,30545,4132,,,0,TPCW ,38,6268.9
97,2,2,1,1,2286,4170,,,0,TPCW ,36,5938.9
114,2,2,1,1,1847,4172,,,0,TPCW ,57,9403.3
102,2,2,1,1,2058,4232,,,0,TPCW ,84,13857.5
119,2,2,1,1,1244,4235,,,0,TPCW ,13,2144.6
91,2,2,1,1,22481,4340,,,0,TPCW ,168,27715
116,2,2,1,1,2695,4406,,,0,TPCW ,138,22765.9
97,2,2,1,1,1499,4415,,,0,TPCW ,182,30024.5
110,2,2,1,1,9195,4430,,,0,TPCW ,25,4124.2
100,2,2,1,1,6963,4721,,,0,TPCW ,45,7423.6
110,2,2,1,1,294,4983,,,0,TPCW ,27,4454.2
119,2,2,1,1,993,5161,,,0,TPCW ,56,9238.3
112,2,2,1,1,10384,5221,,,0,TPCW ,196,32334.1
109,2,2,1,1,1678,5232,,,0,TPCW ,32,5279
82,2,2,1,1,10227,5319,,,0,TPCW ,180,29694.6
116,2,2,1,1,2298,5488,,,0,TPCW ,199,32829
89,2,2,1,1,1992,5669,,,0,TPCW ,119,19631.4
104,2,2,1,1,4203,5677,,,0,TPCW ,179,29529.6
110,2,2,1,1,1694,5711,,,0,TPCW ,105,17321.8
84,2,2,1,1,8240,5725,,,0,TPCW ,115,18971.5
99,2,2,1,1,1823,5880,,,0,TPCW ,195,32169.2
85,2,2,1,1,21946,6278,,,0,TPCW ,137,22600.9
118,2,2,1,1,10821,6286,,,0,TPCW ,97,16002.1
103,2,2,1,1,21369,6351,,,0,TPCW ,138,22765.9
118,2,2,1,1,271,6410,,,0,TPCW ,111,18311.7
87,2,2,1,1,11032,6463,,,0,TPCW ,57,9403.3
88,2,2,1,1,28235,6480,,,0,TPCW ,70,11547.9
120,2,2,1,1,21368,6572,,,0,TPCW ,85,14022.5
94,2,2,1,1,2819,6698,,,0,TPCW ,116,19136.5
100,2,2,1,1,22433,6758,,,0,TPCW ,136,22435.9
104,2,2,1,1,2944,6797,,,0,TPCW ,177,29199.7
107,2,2,1,1,21322,6814,,,0,TPCW ,20,3299.4
109,2,2,1,1,9519,6829,,,0,TPCW ,32,5279
111,2,2,1,1,2591,6923,,,0,TPCW ,160,26395.2
116,2,2,1,1,9105,7092,,,0,TPCW ,43,7093.7
109,2,2,1,1,18341,7112,,,0,TPCW ,30,4949.1
108,2,2,1,1,1684,7182,,,0,TPCW ,139,22930.8
86,2,2,1,1,25480,7194,,,0,TPCW ,42,6928.7
92,2,2,1,1,9107,7293,,,0,TPCW ,152,25075.4
95,2,2,1,1,1166,7299,,,0,TPCW ,29,4784.1
85,2,2,1,1,7972,7418,,,0,TPCW ,147,24250.6
85,2,2,1,1,1582,7440,,,0,TPCW ,55,9073.4
103,2,2,1,1,11437,7471,,,0,TPCW ,57,9403.3
110,2,2,1,1,18150,7543,,,0,TPCW ,187,30849.4
121,2,2,1,1,21484,7707,,,0,TPCW ,34,5609
114,2,2,1,1,4053,7987,,,0,TPCW ,147,24250.6
89,2,2,1,1,317,8012,,,0,TPCW ,200,32994
122,2,2,1,1,18251,8132,,,0,TPCW ,171,28209.9
99,2,2,1,1,7852,8207,,,0,TPCW ,79,13032.6
94,2,2,1,1,9954,8240,,,0,TPCW ,198,32664.1
114,2,2,1,1,8272,8244,,,0,TPCW ,198,32664.1
119,2,2,1,1,3958,8289,,,0,TPCW ,186,30684.4
112,2,2,1,1,7810,8293,,,0,TPCW ,91,15012.3
96,2,2,1,1,1044,8296,,,0,TPCW ,19,3134.4
96,2,2,1,1,23684,8358,,,0,TPCW ,63,10393.1
91,2,2,1,1,288,8367,,,0,TPCW ,177,29199.7
109,2,2,1,1,23685,8560,,,0,TPCW ,57,9403.3
87,2,2,1,1,17043,8607,,,0,TPCW ,43,7093.7
84,2,2,1,1,2770,8702,,,0,TPCW ,112,18476.6
83,2,2,1,1,1035,8806,,,0,TPCW ,74,12207.8
95,2,2,1,1,10970,8861,,,0,TPCW ,122,20126.3
82,2,2,1,1,1304,8893,,,0,TPCW ,106,17486.8
85,2,2,1,1,8223,8985,,,0,TPCW ,196,32334.1
116,2,2,1,1,9207,9081,,,0,TPCW ,182,30024.5
102,2,2,1,1,6804,9109,,,0,TPCW ,33,5444
110,2,2,1,1,1092,9192,,,0,TPCW ,90,14847.3
87,2,2,1,1,18221,9222,,,0,TPCW ,177,29199.7
96,2,2,1,1,3464,9321,,,0,TPCW ,127,20951.2
90,2,2,1,1,11616,9523,,,0,TPCW ,159,26230.2
99,2,2,1,1,6976,9680,,,0,TPCW ,140,23095.8
113,2,2,1,1,977,9733,,,0,TPCW ,30,4949.1
83,2,2,1,1,6992,9735,,,0,TPCW ,178,29364.7
99,2,2,1,1,19784,9768,,,0,TPCW ,20,3299.4
89,2,2,1,1,3283,9792,,,0,TPCW ,31,5114.1
92,2,2,1,1,2040,9866,,,0,TPCW ,10,1649.7
99,2,2,1,1,10771,9924,,,0,TPCW ,20,3299.4
97,2,2,1,1,1329,9955,,,0,TPCW ,149,24580.5
109,2,2,1,1,9142,10144,,,0,TPCW ,158,26065.3
93,2,2,1,1,4007,10260,,,0,TPCW ,47,7753.6
102,2,2,1,1,2178,10294,,,0,TPCW ,130,21446.1
102,2,2,1,1,17494,10475,,,0,TPCW ,116,19136.5
88,2,2,1,1,15518,10479,,,0,TPCW ,39,6433.8
87,2,2,1,1,23684,10509,,,0,TPCW ,158,26065.3
86,2,2,1,1,3325,10593,,,0,TPCW ,130,21446.1
120,2,2,1,1,1582,10746,,,0,TPCW ,45,7423.6
113,2,2,1,1,29267,10868,,,0,TPCW ,134,22106
94,2,2,1,1,3524,11001,,,0,TPCW ,21,3464.4
107,2,2,1,1,1543,11142,,,0,TPCW ,155,25570.3
112,2,2,1,1,17756,11212,,,0,TPCW ,114,18806.6
83,2,2,1,1,248,11262,,,0,TPCW ,18,2969.5
105,2,2,1,1,8236,11310,,,0,TPCW ,22,3629.3
85,2,2,1,1,22009,11344,,,0,TPCW ,58,9568.3
116,2,2,1,1,6528,11441,,,0,TPCW ,141,23260.8
85,2,2,1,1,15489,11589,,,0,TPCW ,113,18641.6
120,2,2,1,1,1631,11866,,,0,TPCW ,199,32829
95,2,2,1,1,15518,11873,,,0,TPCW ,136,22435.9
119,2,2,1,1,11642,11998,,,0,TPCW ,19,3134.4
84,2,2,1,1,10908,12275,,,0,TPCW ,53,8743.4
112,2,2,1,1,1047,12329,,,0,TPCW ,107,17651.8
119,2,2,1,1,14415,12330,,,0,TPCW ,102,16826.9
88,2,2,1,1,21366,12366,,,0,TPCW ,137,22600.9
86,2,2,1,1,6998,12382,,,0,TPCW ,166,27385
82,2,2,1,1,352,12438,,,0,TPCW ,186,30684.4
112,2,2,1,1,1349,12491,,,0,TPCW ,167,27550
103,2,2,1,1,27319,12540,,,0,TPCW ,182,30024.5
102,2,2,1,1,7295,12568,,,0,TPCW ,35,5773.9
110,2,2,1,1,285,12707,,,0,TPCW ,83,13692.5
97,2,2,1,1,1610,12818,,,0,TPCW ,67,11053
102,2,2,1,1,1968,12977,,,0,TPCW ,131,21611.1
102,2,2,1,1,8162,13007,,,0,TPCW ,108,17816.8
105,2,2,1,1,1044,13054,,,0,TPCW ,104,17156.9
94,2,2,1,1,1137,13294,,,0,TPCW ,121,19961.4
95,2,2,1,1,24896,13417,,,0,TPCW ,192,31674.2
120,2,2,1,1,14221,13478,,,0,TPCW ,35,5773.9
107,2,2,1,1,18126,13486,,,0,TPCW ,176,29034.7
100,2,2,1,1,1556,13662,,,0,TPCW ,72,11877.8
114,2,2,1,1,1809,13668,,,0,TPCW ,65,10723
107,2,2,1,1,8776,13711,,,0,TPCW ,192,31674.2
120,2,2,1,1,7810,13817,,,0,TPCW ,41,6763.8
96,2,2,1,1,985,13931,,,0,TPCW ,86,14187.4
113,2,2,1,1,9489,13964,,,0,TPCW ,184,30354.5
105,2,2,1,1,21235,13981,,,0,TPCW ,159,26230.2
112,2,2,1,1,9981,14024,,,0,TPCW ,21,3464.4
102,2,2,1,1,3529,14117,,,0,TPCW ,164,27055.1
116,2,2,1,1,3315,14164,,,0,TPCW ,20,3299.4
94,2,2,1,1,6427,14197,,,0,TPCW ,141,23260.8
89,2,2,1,1,3793,14262,,,0,TPCW ,63,10393.1
85,2,2,1,1,3353,14276,,,0,TPCW ,40,6598.8
116,2,2,1,1,18417,14283,,,0,TPCW ,73,12042.8
113,2,2,1,1,21207,14345,,,0,TPCW ,116,19136.5
121,2,2,1,1,1185,14685,,,0,TPCW ,148,24415.6
103,2,2,1,1,30764,14697,,,0,TPCW ,107,17651.8
118,2,2,1,1,3374,14782,,,0,TPCW ,131,21611.1
106,2,2,1,1,10857,14816,,,0,TPCW ,55,9073.4
121,2,2,1,1,30791,14864,,,0,TPCW ,54,8908.4
116,2,2,1,1,181,14946,,,0,TPCW ,113,18641.6
90,2,2,1,1,1633,14949,,,0,TPCW ,44,7258.7
95,2,2,1,1,9750,14968,,,0,TPCW ,82,13527.5
105,2,2,1,1,10862,15014,,,0,TPCW ,37,6103.9
119,2,2,1,1,7797,15047,,,0,TPCW ,178,29364.7
103,2,2,1,1,10817,15144,,,0,TPCW ,18,2969.5
116,2,2,1,1,9130,15179,,,0,TPCW ,71,11712.9
84,2,2,1,1,6514,15235,,,0,TPCW ,77,12702.7
111,2,2,1,1,3332,15370,,,0,TPCW ,198,32664.1
122,2,2,1,1,1819,15437,,,0,TPCW ,72,11877.8
110,2,2,1,1,28728,15561,,,0,TPCW ,89,14682.3
89,2,2,1,1,7146,15614,,,0,TPCW ,106,17486.8
104,2,2,1,1,1179,15749,,,0,TPCW ,20,3299.4
95,2,2,1,1,9206,15755,,,0,TPCW ,100,16497
87,2,2,1,1,17756,15820,,,0,TPCW ,44,7258.7
91,2,2,1,1,21360,15839,,,0,TPCW ,62,10228.1
119,2,2,1,1,1682,15875,,,0,TPCW ,99,16332
103,2,2,1,1,22538,16033,,,0,TPCW ,78,12867.7
100,2,2,1,1,23263,16043,,,0,TPCW ,136,22435.9
114,2,2,1,1,7971,16054,,,0,TPCW ,198,32664.1
96,2,2,1,1,18191,16160,,,0,TPCW ,82,13527.5
113,2,2,1,1,8776,16201,,,0,TPCW ,72,11877.8
101,2,2,1,1,1572,16253,,,0,TPCW ,127,20951.2
109,2,2,1,1,2190,16260,,,0,TPCW ,58,9568.3
83,2,2,1,1,15518,16269,,,0,TPCW ,189,31179.3
119,2,2,1,1,3464,16270,,,0,TPCW ,173,28539.8
112,2,2,1,1,9212,16336,,,0,TPCW ,80,13197.6
119,2,2,1,1,2162,16546,,,0,TPCW ,139,22930.8
93,2,2,1,1,3446,16564,,,0,TPCW ,168,27715
90,2,2,1,1,163,16589,,,0,TPCW ,44,7258.7
115,2,2,1,1,22449,16600,,,0,TPCW ,10,1649.7
99,2,2,1,1,7972,16623,,,0,TPCW ,55,9073.4
114,2,2,1,1,10808,16887,,,0,TPCW ,43,7093.7
104,2,2,1,1,2402,16906,,,0,TPCW ,122,20126.3
114,2,2,1,1,6977,16938,,,0,TPCW ,72,11877.8
94,2,2,1,1,14282,16940,,,0,TPCW ,195,32169.2
106,2,2,1,1,938,16985,,,0,TPCW ,145,23920.7
82,2,2,1,1,145,17010,,,0,TPCW ,126,20786.2
86,2,2,1,1,8155,17137,,,0,TPCW ,103,16991.9
110,2,2,1,1,3499,17151,,,0,TPCW ,194,32004.2
117,2,2,1,1,28334,17264,,,0,TPCW ,189,31179.3
88,2,2,1,1,7136,17283,,,0,TPCW ,34,5609
88,2,2,1,1,3315,17293,,,0,TPCW ,146,24085.6
99,2,2,1,1,15501,17454,,,0,TPCW ,147,24250.6
115,2,2,1,1,17880,17468,,,0,TPCW ,69,11382.9
108,2,2,1,1,2074,17473,,,0,TPCW ,127,20951.2
82,2,2,1,1,8770,17528,,,0,TPCW ,58,9568.3
108,2,2,1,1,7452,17610,,,0,TPCW ,38,6268.9
119,2,2,1,1,7976,17794,,,0,TPCW ,190,31344.3
121,2,2,1,1,8190,17820,,,0,TPCW ,48,7918.6
82,2,2,1,1,6507,17878,,,0,TPCW ,34,5609
83,2,2,1,1,6533,17977,,,0,TPCW ,181,29859.6
103,2,2,1,1,22018,18014,,,0,TPCW ,82,13527.5
86,2,2,1,1,10982,18036,,,0,TPCW ,91,15012.3
90,2,2,1,1,1047,18124,,,0,TPCW ,107,17651.8
92,2,2,1,1,1584,18297,,,0,TPCW ,192,31674.2
111,2,2,1,1,1013,18300,,,0,TPCW ,102,16826.9
97,2,2,1,1,9107,18342,,,0,TPCW ,137,22600.9
116,2,2,1,1,138,18380,,,0,TPCW ,59,9733.2
119,2,2,1,1,7778,18669,,,0,TPCW ,90,14847.3
91,2,2,1,1,21370,18779,,,0,TPCW ,86,14187.4
106,2,2,1,1,2675,19039,,,0,TPCW ,88,14517.4
91,2,2,1,1,9773,19106,,,0,TPCW ,43,7093.7
100,2,2,1,1,2618,19125,,,0,TPCW ,191,31509.3
101,2,2,1,1,9938,19159,,,0,TPCW ,87,14352.4
106,2,2,1,1,1792,19190,,,0,TPCW ,101,16662
121,2,2,1,1,8746,19263,,,0,TPCW ,48,7918.6
97,2,2,1,1,9520,19315,,,0,TPCW ,135,22271
107,2,2,1,1,32784,19350,,,0,TPCW ,26,4289.2
115,2,2,1,1,22453,19471,,,0,TPCW ,115,18971.5
102,2,2,1,1,3019,19482,,,0,TPCW ,193,31839.2
103,2,2,1,1,9083,19498,,,0,TPCW ,110,18146.7
115,2,2,1,1,10356,19578,,,0,TPCW ,108,17816.8
117,2,2,1,1,27485,19597,,,0,TPCW ,97,16002.1
114,2,2,1,1,14513,19819,,,0,TPCW ,51,8413.5
109,2,2,1,1,16882,19858,,,0,TPCW ,128,21116.2
116,2,2,1,1,375,19947,,,0,TPCW ,24,3959.3
95,2,2,1,1,9216,19960,,,0,TPCW ,75,12372.8
88,2,2,1,1,205,19982,,,0,TPCW ,35,5773.9
107,2,2,1,1,9976,20050,,,0,TPCW ,121,19961.4
114,2,2,1,1,11616,20107,,,0,TPCW ,57,9403.3
118,2,2,1,1,17538,20116,,,0,TPCW ,121,19961.4
88,2,2,1,1,17756,20205,,,0,TPCW ,25,4124.2
114,2,2,1,1,2333,20206,,,0,TPCW ,191,31509.3
117,2,2,1,1,23685,20263,,,0,TPCW ,123,20291.3
89,2,2,1,1,2695,20456,,,0,TPCW ,56,9238.3
84,2,2,1,1,2853,20511,,,0,TPCW ,18,2969.5
94,2,2,1,1,2111,20517,,,0,TPCW ,36,5938.9
96,2,2,1,1,1529,20527,,,0,TPCW ,124,20456.3
