saleDate_sk,CalendarDay,CalendarWeek,CalendarQuarter,CalendarMonth,CalendarYear,FiscalDay,FiscalWeek,FiscalQuarter,FiscalMonth,FiscalYear,Date,source
1,,,,,,,,,,,,
4,19,30,3,7,2009,19,42,2,4,2010,7/19/09,PEC
342,21,48,4,11,2005,21,60,3,8,2006,11/21/05,PEC
345,13,29,3,7,2009,13,41,2,4,2010,7/13/09,PEC
347,12,29,3,7,2009,12,41,2,4,2010,7/12/09,PEC
353,11,28,3,7,2009,11,40,2,4,2010,7/11/09,PEC
357,10,28,3,7,2009,10,40,2,4,2010,7/10/09,PEC
359,17,29,3,7,2009,17,41,2,4,2010,7/17/09,PEC
362,16,29,3,7,2009,16,41,2,4,2010,7/16/09,PEC
364,15,29,3,7,2009,15,41,2,4,2010,7/15/09,PEC
366,14,29,3,7,2009,14,41,2,4,2010,7/14/09,PEC
370,18,47,4,11,2009,18,59,3,8,2010,11/18/09,PEC
372,19,47,4,11,2009,19,59,3,8,2010,11/19/09,PEC
374,14,46,4,11,2009,14,58,3,8,2010,11/14/09,PEC
376,15,47,4,11,2009,15,59,3,8,2010,11/15/09,PEC
378,16,47,4,11,2009,16,59,3,8,2010,11/16/09,PEC
380,17,47,4,11,2009,17,59,3,8,2010,11/17/09,PEC
382,10,46,4,11,2009,10,58,3,8,2010,11/10/09,PEC
384,11,15,2,4,2007,11,27,1,1,2008,4/11/07,PEC
386,12,46,4,11,2009,12,58,3,8,2010,11/12/09,PEC
390,13,46,4,11,2009,13,58,3,8,2010,11/13/09,PEC
393,23,39,3,9,2005,23,51,2,6,2006,9/23/05,PEC
395,22,39,3,9,2005,22,51,2,6,2006,9/22/05,PEC
399,21,39,3,9,2005,21,51,2,6,2006,9/21/05,PEC
401,10,15,2,4,2007,10,27,1,1,2008,4/10/07,PEC
411,27,40,3,9,2005,27,52,2,6,2006,9/27/05,PEC
413,26,40,3,9,2005,26,52,2,6,2006,9/26/05,PEC
415,25,40,3,9,2005,25,52,2,6,2006,9/25/05,PEC
419,24,39,3,9,2005,24,51,2,6,2006,9/24/05,PEC
421,17,16,2,4,2007,17,28,1,1,2008,4/17/07,PEC
423,28,40,3,9,2005,28,52,2,6,2006,9/28/05,PEC
427,19,4,1,1,2005,19,44,4,10,2005,1/19/05,PEC
431,30,18,2,4,2008,30,30,1,1,2009,4/30/08,PEC
433,16,34,3,8,2009,16,46,2,5,2010,8/16/09,PEC
435,10,32,3,8,2007,10,44,2,5,2008,8/10/07,PEC
439,10,24,2,6,2009,10,36,1,3,2010,6/10/09,PEC
445,6,19,2,5,2009,6,31,1,2,2010,5/6/09,PEC
447,16,12,1,3,2005,16,24,4,12,2005,3/16/05,PEC
449,12,42,4,10,2010,12,54,3,7,2011,10/12/10,PEC
451,14,12,1,3,2005,14,24,4,12,2005,3/14/05,PEC
455,10,42,4,10,2010,10,54,3,7,2011,10/10/10,PEC
457,17,43,4,10,2010,17,55,3,7,2011,10/17/10,PEC
464,16,42,4,10,2010,16,54,3,7,2011,10/16/10,PEC
470,15,42,4,10,2010,15,54,3,7,2011,10/15/10,PEC
476,11,24,2,6,2009,11,36,1,3,2010,6/11/09,PEC
482,19,43,4,10,2010,19,55,3,7,2011,10/19/10,PEC
484,17,42,4,10,2007,17,54,3,7,2008,10/17/07,PEC
486,24,44,4,10,2005,24,56,3,7,2006,10/24/05,PEC
488,18,12,1,3,2005,18,24,4,12,2005,3/18/05,PEC
490,9,20,2,5,2010,9,32,1,2,2011,5/9/10,PEC
496,6,19,2,5,2010,6,31,1,2,2011,5/6/10,PEC
498,2,19,2,5,2010,2,31,1,2,2011,5/2/10,PEC
500,10,19,2,5,2008,10,31,1,2,2009,5/10/08,PEC
504,20,43,4,10,2005,20,55,3,7,2006,10/20/05,PEC
